name,works_count
J.K. Rowling,255
W. Frederick Zimmerman,70
Douglas Adams,107
Jamie Flinchbaugh,3
Bill Bryson,64
J.R.R. Tolkien,470
Chris   Smith,2
Jude Fisher,13
Brian Sibley,47
Gary Paulsen,226
Donna Ickes,1
Molly Hatchet,5
Dale Peck,26
Bud Cheff Sr.,1
Angela Knight,96
Delia Sherman,124
Patricia A. McKillip,96
Anne McCaffrey,363
Elaine Cunningham,96
Philippa Carr,41
Edward P. Jones,21
Nicole Rae Painter,1
Satyajit Das,31
Mark Smylie,43
John McPhee,61
Loretta Krupinski,40
Wendy Wasserstein,35
Heidi Fleiss,2
Heidi Swapp,3
Heidi Hayes Jacobs,72
Heidi Boyd,17
Heidi Baker,78
Johanna Spyri,845
Heidi Betts,136
Heidi Baker,78
Heidi Pitlor,21
Heidi Murkoff,113
Heidi W. Boehringer,2
Frank Herbert,313
Brian Herbert,100
James Van Hise,106
Willis Everett McNelly,7
Felix Salten,78
Gary Russell,125
Susan E. Tifft,2
Bryce Courtenay,35
Stephen     Moss,5
Dennis Brindell Fradin,298
Carmen Bellaire,8
Francis Frangipane,79
John C. Maxwell,577
Dave Lakhani,20
Louis E. Catron,14
Adam Ginsberg,6
Marsha Collier,39
Debra Schepp,19
Chris Malta,3
Skip McGrath,18
Julia Wilkinson,5
Lucas Carlson,6
Ruby Ann Boxcar,10
Colin Steele,4
Ruby Banks-Payne,1
Rob Orsini,2
Amy Cyrex Sins,1
Ruby Le Bois,7
Leo Tolstoy,3115
Gloria Goldreich,33
Anthony Thorlby,9
Olga Grushin,5
Mulk Raj Anand,85
John Banville,101
Eliot Ness,4
Narendra Jadhav,22
V.T. Rajshekar,10
Oliver Mendelsohn,6
Vasant Moon,4
Peter Achinstein,20
Barry R. Cournoyer,5
Jeffrey A. Norton,2
Diane E. Wirth,7
Brenton G. Yorgason,52
John Carratello,65
Teri Shagoury,2
Mary B. Collins,150
George Smoot,5
Madeleine L'Engle,142
Tara MacCarthy,6
Valerie Metcalf Estoye,1
LinguiSystems,21
Doreen Gonzales,59
Manuela Soares,10
McDougal Littell,4569
Charlotte S. Jaffe,75
Raymond E. Jones,15
H. Ganse Little,1
Laura Brierley,1
Anne Troy,85
James C. Scott,27
"Novel Units, Inc.",1413
Daisy Bates,7
Jerome Kagan,53
Cynthia Harrod-Eagles,109
Charles Todd,70
Christopher Waldrep,20
Ewan McGregor,8
Daniel Abraham,221
Clois G. Long,1
Erna Paris,12
Charles Willeford,59
Tom Wolfe,117
Edward Lear,316
Roald Dahl,798
Henry Miller,271
Matthew Carmona,18
Erving Goffman,31
Charles A. Coulombe,21
Sian Phillips,44
Calvin Morrill,4
Mark C. Childs,5
F. Belton Joyner Jr.,9
Braiden Rex-Johnson,8
Malcolm Miles,32
Henry James,1788
Janet McAlpin,8
Lyn Cowan,5
